FID  CapYear MumID
1 400 1996 2341
1 401 1996 2341
1 402 1996 2176
1 403 1996 2853
1 404 1996 2623
1 405 1996 2623
1 406 1996 2443
1 407 1996 1664
1 408 1996 2260
1 49 1996 3009
1 409 1996 2375
1 410 1996 2363
1 411 1996 2807
1 412 1996 2245
1 413 1996 2800
1 414 1996 2861
1 415 1996 2697
1 416 1996 2903
1 417 1996 2376
1 418 1996 3111
1 419 1996 3088
1 420 1996 3237
1 421 1996 3259
1 422 1996 2409
1 423 1996 2178
1 424 1996 2178
1 425 1996 2163
1 426 1996 2163
1 427 1996 2572
1 428 1996 2688
1 429 1996 3241
1 430 1996 2842
1 431 1996 2842
1 432 1996 2963
1 433 1996 2368
1 434 1996 2612
1 435 1996 2834
1 436 1996 2707
1 437 1996 2931
1 438 1996 3260
1 439 1996 2536
1 440 1996 2169
1 441 1996 2631
1 442 1996 2830
1 443 1996 2064
1 444 1996 3250
1 445 1996 2637
1 446 1996 2172
1 447 1996 3201
1 448 1996 1891
1 449 1996 2377
1 450 1996 2658
1 451 1996 2658
1 452 1996 3123
1 453 1996 2523
1 454 1996 2799
1 455 1996 2073
1 456 1996 2073
1 457 1996 2069
1 458 1996 2421
1 459 1996 2421
1 460 1996 2843
1 461 1996 3299
1 462 1996 1255
1 463 1996 2379
1 464 1996 3226
1 465 1996 2641
1 466 1996 2641
1 467 1996 2695
1 468 1996 3280
1 469 1996 3298
1 470 1996 2214
1 471 1996 3209
1 472 1996 2571
1 473 1996 2698
1 474 1996 3293
1 475 1996 2353
1 53 1996 2076
1 476 1996 2365
1 477 1996 3291
1 478 1996 2617
1 479 1996 2617
1 480 1996 2373
1 481 1996 2373
1 482 1996 2611
1 483 1996 3324
1 484 1996 2676
1 485 1996 2632
1 486 1996 2847
1 487 1996 2460
1 488 1996 2610
1 489 1996 1880
1 490 1996 3248
1 491 1996 2369
1 492 1996 2342
1 493 1997 2245
1 494 1997 2064
1 495 1997 2443
1 496 1997 2379
1 26 1997 2365
1 497 1997 3123
1 498 1997 2640
1 499 1997 3121
1 17 1997 3236
1 500 1997 3222
1 501 1997 1741
1 502 1997 1741
1 503 1997 2323
1 504 1997 2323
1 505 1997 3199
1 506 1997 2697
1 507 1997 2697
1 508 1997 2611
1 509 1997 2623
1 510 1997 2834
1 511 1997 2460
1 512 1997 2409
1 513 1997 2409
1 514 1997 3263
1 515 1997 2631
1 516 1997 2612
1 517 1997 3129
1 518 1997 2572
1 519 1997 2607
1 520 1997 2829
1 521 1997 3250
1 522 1997 3282
1 523 1997 2169
1 524 1997 2366
1 525 1997 2366
1 526 1997 2853
1 527 1997 2842
1 528 1997 3260
1 529 1997 2167
1 530 1997 2841
1 531 1997 2178
1 532 1997 2178
1 533 1997 2223
1 534 1997 2941
1 535 1997 2898
1 536 1997 3076
1 537 1997 2695
1 538 1997 2377
1 539 1997 2908
1 540 1997 2908
1 541 1997 2658
1 542 1997 2658
1 543 1997 2536
1 544 1997 2617
1 545 1997 2617
1 546 1997 2353
1 547 1997 2873
1 548 1997 2177
1 549 1997 3009
1 550 1997 2214
1 551 1997 2686
1 552 1997 2799
1 553 1997 2860
1 554 1997 2292
1 555 1997 2073
1 556 1997 1666
1 557 1997 2374
1 558 1997 2698
1 559 1997 2076
1 560 1997 2787
1 561 1997 1891
1 562 1997 2899
1 563 1997 3533
1 564 1997 2358
1 565 1997 2358
1 566 1997 3027
1 567 1997 2673
1 568 1997 2341
1 569 1997 2707
1 570 1997 2676
1 571 1997 1880
1 572 1997 2641
1 573 1997 2641
1 574 1997 3255
1 575 1997 2342
1 576 1997 3203
1 577 1997 54
1 578 1997 54
1 579 1997 2963
1 580 1997 3111
